Was ist der Model Viewer Controller?;"Architekturmuster für die Trennung von Daten, Präsentation und Steuerung"
Welche Aufgaben hat das Model im MVC?;"Datenhaltung, Verarbeitung und Validierung"
Welche Aufgaben hat der Viewer im MVC?;"Darstellung der Daten und Benutzeroberfläche"
Welche Aufgaben hat der Controller im MVC?;"Steuerung des Ablaufs und Verarbeitung von Benutzereingaben"
Was ist das Ziel des MVC-Architekturmusters?;"Trennung von Daten, Präsentation und Steuerung zur Verbesserung der Wartbarkeit und Erweiterbarkeit"
Wie können die Komponenten des MVC erweitert werden?;"Die Aufgabenfelder sind nicht trennscharf, aber es sollte das MVC-Architekturmuster nicht verletzt werden."
Was ist ein Stereotyp im Zusammenhang mit dem MVC-Architekturmuster?;"Eine spezielle Art von Annotationen zur Beschreibung von Klassen in UML-Diagrammen."
Wie kann das MVC-Architekturmuster in einem Fallbeispiel dargestellt werden?;"Mit Stereotypen in einem UML-Diagramm (siehe Abbildung 10 auf Seite 90)."
Was sind typische Ziele verteilter Systeme?;"Effektive und effiziente Verwaltung, Skalierbarkeit, Zuverlässigkeit, Sicherheit."
Was sind die generischen Ziele für die Entwicklung verteilter Systeme?;"Die gleichen wie für nicht-verteilte Systeme, z.B. Funktionalität, Zuverlässigkeit, Wartbarkeit."
Was ist VCM?;"Eine Variante des MVC-Architekturmusters, bei der das View-Modul in der Mitte steht."
Was ist CVM?;"Eine Variante des MVC-Architekturmusters, bei der das Controller-Modul in der Mitte steht."
Wie unterscheiden sich VCM und CVM vom klassischen MVC?;"Die Reihenfolge der Komponenten variiert und sie sind mit einem Schichtenmodell vereint."
Sind VCM und CVM weit verbreitete Architekturmuster?;"Nein, sie sind keine weit verbreiteten oder standardisierten Architekturmuster."
Was verdeutlicht Graphik 11 auf Seite 91?;"Eine mögliche Interpretation von VCM und CVM als Schichtenmodelle."
Wie können VCM und CVM als Variationen des MVC-Musters betrachtet werden?;"Durch die unterschiedliche Anordnung der Komponenten und ihre Vereinigung mit einem Schichtenmodell."
Was ist wichtig zu beachten bei VCM und CVM?;"Dass sie keine weit verbreiteten oder standardisierten Architekturmuster sind."
Wie können die Komponenten von VCM und CVM erweitert werden?;"Die Aufgabenfelder sind nicht trennscharf, aber es sollte das MVC-Architekturmuster nicht verletzt werden."
